Date,Location,Received_Calls,Number_of_Errors,Customers_Served,Average_Spend_per_Customer,Employee_Satisfaction_Rate,Store_Health,Store_ID
2022-01-06 03:14:05.074844,Downtown,9,0,170,8.21,2,Unhealthy,11
2022-01-07 03:14:05.074844,Mall,11,2,187,5.97,4,Healthy,2
2022-01-08 03:14:05.074844,University,13,1,197,13.61,3,Unhealthy,90
2022-01-09 03:14:05.074844,Downtown,10,2,210,14.33,3,Unhealthy,68
2022-01-10 03:14:05.074844,Mall,6,3,193,12.59,4,Unhealthy,17
2022-01-11 03:14:05.074844,University,11,0,212,17.26,4,Healthy,81
2022-01-12 03:14:05.074844,Suburban,11,0,199,17.92,5,Healthy,92
2022-01-13 03:14:05.074844,Mall,8,2,217,14.23,4,Unhealthy,94
2022-01-14 03:14:05.074844,University,5,1,199,5.19,4,Healthy,40
2022-01-15 03:14:05.074844,University,9,2,187,15.43,1,Unhealthy,87
2022-01-16 03:14:05.074844,Mall,11,3,186,11.27,3,Healthy,46
2022-01-17 03:14:05.074844,Suburban,13,2,207,13.48,3,Unhealthy,88
2022-01-18 03:14:05.074844,Mall,6,3,227,14.74,5,Unhealthy,93
2022-01-19 03:14:05.074844,University,11,3,200,10.25,3,Healthy,4
2022-01-20 03:14:05.074844,Downtown,8,3,222,18.76,3,Healthy,38
2022-01-21 03:14:05.074844,Downtown,10,2,194,7.01,4,Unhealthy,63
2022-01-22 03:14:05.074844,Mall,9,0,223,15.07,3,Unhealthy,29
2022-01-23 03:14:05.074844,University,10,2,181,5.07,3,Healthy,19
2022-01-24 03:14:05.074844,Downtown,5,2,223,18.87,4,Unhealthy,91
2022-01-25 03:14:05.074844,University,7,2,197,6.69,2,Healthy,29
2022-01-26 03:14:05.074844,Mall,14,3,204,6.42,2,Healthy,100
2022-01-27 03:14:05.074844,Downtown,7,1,223,10.0,3,Unhealthy,35
2022-01-28 03:14:05.074844,University,11,2,205,10.6,4,Healthy,70
2022-01-29 03:14:05.074844,Downtown,10,0,223,8.21,4,Unhealthy,23
2022-01-30 03:14:05.074844,Mall,7,0,235,13.78,3,Healthy,46
2022-01-31 03:14:05.074844,University,4,2,201,11.64,4,Healthy,44
2022-02-01 03:14:05.074844,Downtown,7,3,196,5.51,3,Healthy,48
2022-02-02 03:14:05.074844,Mall,12,1,203,9.79,5,Unhealthy,52
2022-02-03 03:14:05.074844,Downtown,8,1,200,17.16,2,Unhealthy,8
2022-02-04 03:14:05.074844,Downtown,14,4,205,15.35,4,Unhealthy,55
2022-02-05 03:14:05.074844,Suburban,9,1,217,15.87,5,Healthy,66
2022-02-06 03:14:05.074844,Suburban,10,2,186,15.47,4,Healthy,77
2022-02-07 03:14:05.074844,Mall,15,0,212,9.66,3,Unhealthy,40
2022-02-08 03:14:05.074844,Suburban,8,4,212,6.49,3,Healthy,85
2022-02-09 03:14:05.074844,Mall,15,3,192,9.09,4,Unhealthy,31
2022-02-10 03:14:05.074844,Suburban,11,2,187,17.48,2,Healthy,48
2022-02-11 03:14:05.074844,Downtown,12,2,183,19.71,4,Unhealthy,100
2022-02-12 03:14:05.074844,Mall,6,3,198,12.41,4,Healthy,61
2022-02-13 03:14:05.074844,Mall,20,3,226,5.15,4,Unhealthy,52
2022-02-14 03:14:05.074844,Downtown,14,1,200,7.1,2,Healthy,38
2022-02-15 03:14:05.074844,Mall,9,3,214,9.83,4,Healthy,91
2022-02-16 03:14:05.074844,Mall,9,3,192,13.68,4,Healthy,36
2022-02-17 03:14:05.074844,Suburban,6,0,188,6.13,4,Healthy,87
2022-02-18 03:14:05.074844,Mall,19,4,190,19.15,1,Healthy,55
2022-02-19 03:14:05.074844,University,11,4,188,10.48,1,Unhealthy,85
2022-02-20 03:14:05.074844,Downtown,13,2,217,18.69,3,Unhealthy,13
2022-02-21 03:14:05.074844,Suburban,19,2,197,16.71,2,Unhealthy,37
2022-02-22 03:14:05.074844,Suburban,7,2,186,16.33,4,Unhealthy,47
2022-02-23 03:14:05.074844,University,6,0,191,14.1,5,Unhealthy,90
2022-02-24 03:14:05.074844,Downtown,8,2,195,14.4,3,Healthy,71
2022-02-25 03:14:05.074844,Downtown,9,2,205,14.57,4,Healthy,22
2022-02-26 03:14:05.074844,Suburban,11,3,227,14.43,1,Healthy,39
2022-02-27 03:14:05.074844,Mall,6,0,187,13.31,3,Unhealthy,87
2022-02-28 03:14:05.074844,Suburban,12,1,205,19.8,1,Healthy,58
2022-03-01 03:14:05.074844,Downtown,7,3,196,15.98,3,Healthy,30
2022-03-02 03:14:05.074844,University,8,3,208,16.65,5,Unhealthy,18
2022-03-03 03:14:05.074844,Suburban,2,4,192,18.09,2,Healthy,18
2022-03-04 03:14:05.074844,Downtown,8,0,197,8.23,4,Unhealthy,74
2022-03-05 03:14:05.074844,Suburban,2,3,231,6.26,4,Unhealthy,39
2022-03-06 03:14:05.074844,Mall,11,1,192,12.24,5,Healthy,94
2022-03-07 03:14:05.074844,Suburban,9,2,200,12.71,2,Healthy,26
2022-03-08 03:14:05.074844,Suburban,10,5,214,17.44,3,Healthy,71
2022-03-09 03:14:05.074844,Downtown,6,0,207,11.66,1,Unhealthy,7
2022-03-10 03:14:05.074844,Downtown,8,1,203,13.56,3,Healthy,69
2022-03-11 03:14:05.074844,Downtown,7,3,182,12.91,3,Unhealthy,65
2022-03-12 03:14:05.074844,Suburban,19,3,220,5.57,5,Unhealthy,46
2022-03-13 03:14:05.074844,Mall,12,1,211,14.23,4,Healthy,18
2022-03-14 03:14:05.074844,University,14,0,198,17.42,4,Healthy,13
2022-03-15 03:14:05.074844,University,10,3,215,7.36,4,Unhealthy,25
2022-03-16 03:14:05.074844,Downtown,14,3,202,13.91,2,Healthy,8
2022-03-17 03:14:05.074844,Downtown,12,0,201,13.9,3,Unhealthy,74
2022-03-18 03:14:05.074844,Suburban,7,2,233,7.46,5,Healthy,32
2022-03-19 03:14:05.074844,University,9,0,191,6.85,4,Unhealthy,17
2022-03-20 03:14:05.074844,Downtown,5,4,216,19.7,5,Unhealthy,79
2022-03-21 03:14:05.074844,Mall,11,0,207,10.91,4,Unhealthy,79
2022-03-22 03:14:05.074844,Mall,14,2,186,8.41,2,Healthy,48
2022-03-23 03:14:05.074844,Downtown,8,1,171,7.57,3,Healthy,63
2022-03-24 03:14:05.074844,Downtown,13,0,202,15.01,1,Unhealthy,40
2022-03-25 03:14:05.074844,University,13,1,211,14.14,3,Healthy,84
2022-03-26 03:14:05.074844,University,10,2,212,14.65,2,Healthy,15
2022-03-27 03:14:05.074844,Suburban,8,5,186,6.32,4,Unhealthy,99
2022-03-28 03:14:05.074844,University,9,1,227,18.4,4,Healthy,6
2022-03-29 03:14:05.074844,Mall,9,3,216,10.84,5,Healthy,94
2022-03-30 03:14:05.074844,Mall,7,1,197,9.7,4,Healthy,63
2022-03-31 03:14:05.074844,Downtown,7,5,184,11.94,5,Unhealthy,8
2022-04-01 03:14:05.074844,University,11,2,231,10.85,2,Unhealthy,95
2022-04-02 03:14:05.074844,Suburban,11,0,189,17.95,1,Healthy,32
2022-04-03 03:14:05.074844,Mall,9,1,226,18.94,4,Healthy,45
2022-04-04 03:14:05.074844,Mall,10,2,207,9.55,3,Healthy,52
2022-04-05 03:14:05.074844,Suburban,9,0,194,17.96,3,Unhealthy,79
2022-04-06 03:14:05.074844,Suburban,11,1,163,16.72,3,Healthy,82
2022-04-07 03:14:05.074844,Mall,11,3,215,18.96,3,Unhealthy,13
2022-04-08 03:14:05.074844,Mall,13,0,194,8.69,4,Healthy,24
2022-04-09 03:14:05.074844,Suburban,17,0,201,13.65,3,Unhealthy,40
2022-04-10 03:14:05.074844,Mall,7,2,189,9.12,4,Healthy,14
2022-04-11 03:14:05.074844,Downtown,8,2,189,17.36,4,Unhealthy,92
2022-04-12 03:14:05.074844,Downtown,10,2,190,5.08,3,Healthy,75
2022-04-13 03:14:05.074844,Suburban,8,4,200,13.47,3,Healthy,70
2022-04-14 03:14:05.074844,University,13,3,189,10.09,3,Unhealthy,62
2022-04-15 03:14:05.074844,Suburban,8,1,194,9.84,3,Unhealthy,89
2022-04-16 03:14:05.074844,Suburban,12,3,202,14.67,4,Healthy,61
2022-04-17 03:14:05.074844,University,9,1,204,17.77,4,Unhealthy,1
2022-04-18 03:14:05.074844,University,7,3,195,14.14,4,Unhealthy,89
2022-04-19 03:14:05.074844,University,7,3,207,17.8,3,Unhealthy,66
2022-04-20 03:14:05.074844,Downtown,12,2,203,8.97,4,Healthy,32
2022-04-21 03:14:05.074844,Mall,11,3,198,12.79,4,Unhealthy,13
2022-04-22 03:14:05.074844,Downtown,18,2,190,11.76,4,Healthy,33
2022-04-23 03:14:05.074844,Mall,13,3,201,5.17,4,Healthy,32
2022-04-24 03:14:05.074844,Downtown,17,1,213,13.35,4,Unhealthy,56
2022-04-25 03:14:05.074844,Mall,7,3,206,14.92,4,Healthy,24
2022-04-26 03:14:05.074844,Downtown,11,2,227,13.88,4,Healthy,91
2022-04-27 03:14:05.074844,University,8,4,210,16.04,2,Unhealthy,4
2022-04-28 03:14:05.074844,Suburban,13,3,187,13.57,4,Unhealthy,88
2022-04-29 03:14:05.074844,Downtown,13,1,219,6.0,2,Healthy,23
2022-04-30 03:14:05.074844,Mall,12,1,226,6.75,2,Healthy,29
2022-05-01 03:14:05.074844,University,11,2,200,13.95,5,Unhealthy,98
2022-05-02 03:14:05.074844,Downtown,11,4,214,9.12,5,Healthy,21
2022-05-03 03:14:05.074844,Downtown,7,2,221,6.19,2,Unhealthy,30
2022-05-04 03:14:05.074844,University,11,3,230,11.44,3,Unhealthy,90
2022-05-05 03:14:05.074844,Downtown,7,1,207,13.31,3,Healthy,20
2022-05-06 03:14:05.074844,Suburban,11,2,182,9.93,4,Unhealthy,16
2022-05-07 03:14:05.074844,Downtown,12,4,183,15.81,4,Unhealthy,67
2022-05-08 03:14:05.074844,Suburban,9,4,194,14.66,5,Healthy,49
2022-05-09 03:14:05.074844,Suburban,6,1,205,9.99,4,Unhealthy,58
2022-05-10 03:14:05.074844,University,12,3,200,16.32,3,Unhealthy,44
2022-05-11 03:14:05.074844,Downtown,8,0,203,14.73,4,Unhealthy,25
2022-05-12 03:14:05.074844,University,7,2,202,14.56,3,Unhealthy,23
2022-05-13 03:14:05.074844,Downtown,7,5,193,13.3,5,Healthy,59
2022-05-14 03:14:05.074844,Downtown,4,1,197,5.17,5,Healthy,1
2022-05-15 03:14:05.074844,Mall,7,2,206,15.45,4,Healthy,97
2022-05-16 03:14:05.074844,Downtown,14,2,206,10.64,3,Healthy,15
2022-05-17 03:14:05.074844,University,10,0,192,19.14,3,Healthy,81
2022-05-18 03:14:05.074844,Suburban,8,3,208,17.27,1,Unhealthy,98
2022-05-19 03:14:05.074844,Downtown,10,1,194,13.82,4,Unhealthy,81
2022-05-20 03:14:05.074844,Mall,10,4,216,8.78,4,Unhealthy,52
2022-05-21 03:14:05.074844,University,7,5,188,8.06,3,Unhealthy,58
2022-05-22 03:14:05.074844,Downtown,5,3,190,10.11,4,Unhealthy,41
2022-05-23 03:14:05.074844,University,13,2,219,12.15,4,Healthy,44
2022-05-24 03:14:05.074844,Mall,16,0,209,9.44,2,Unhealthy,4
2022-05-25 03:14:05.074844,Mall,9,3,196,12.72,5,Healthy,77
2022-05-26 03:14:05.074844,University,10,1,201,7.48,5,Unhealthy,68
2022-05-27 03:14:05.074844,Downtown,10,1,214,19.67,5,Unhealthy,7
2022-05-28 03:14:05.074844,Suburban,5,1,208,6.62,3,Healthy,46
2022-05-29 03:14:05.074844,Mall,6,1,222,18.98,3,Unhealthy,9
2022-05-30 03:14:05.074844,Downtown,8,2,201,18.7,3,Unhealthy,87
2022-05-31 03:14:05.074844,Downtown,10,2,196,12.88,3,Healthy,33
2022-06-01 03:14:05.074844,Suburban,9,1,174,15.87,3,Unhealthy,33
2022-06-02 03:14:05.074844,Mall,11,0,193,11.54,4,Healthy,84
2022-06-03 03:14:05.074844,Mall,15,5,191,14.45,4,Healthy,4
2022-06-04 03:14:05.074844,Downtown,9,0,207,10.11,5,Unhealthy,65
2022-06-05 03:14:05.074844,Downtown,13,0,199,9.52,1,Unhealthy,34
2022-06-06 03:14:05.074844,Suburban,5,1,218,13.67,4,Unhealthy,91
2022-06-07 03:14:05.074844,Suburban,11,1,207,12.47,4,Unhealthy,85
2022-06-08 03:14:05.074844,Mall,6,3,230,13.69,4,Healthy,88
2022-06-09 03:14:05.074844,University,15,1,212,9.3,5,Unhealthy,79
2022-06-10 03:14:05.074844,Mall,11,0,227,10.5,4,Unhealthy,99
2022-06-11 03:14:05.074844,Downtown,6,1,211,6.26,5,Unhealthy,64
2022-06-12 03:14:05.074844,Mall,9,4,198,5.78,3,Healthy,25
2022-06-13 03:14:05.074844,University,9,2,212,8.8,4,Unhealthy,55
2022-06-14 03:14:05.074844,Suburban,18,0,190,6.11,1,Unhealthy,9
2022-06-15 03:14:05.074844,University,8,3,201,6.56,1,Unhealthy,17
2022-06-16 03:14:05.074844,University,9,1,192,17.19,3,Unhealthy,21
2022-06-17 03:14:05.074844,University,11,1,210,5.58,2,Healthy,60
2022-06-18 03:14:05.074844,Suburban,11,0,205,14.88,3,Unhealthy,13
2022-06-19 03:14:05.074844,University,6,3,209,9.09,3,Unhealthy,3
2022-06-20 03:14:05.074844,University,13,1,218,18.07,1,Healthy,68
2022-06-21 03:14:05.074844,University,6,0,190,12.27,5,Unhealthy,4
2022-06-22 03:14:05.074844,Downtown,8,2,199,9.58,1,Healthy,92
2022-06-23 03:14:05.074844,University,12,3,195,12.76,4,Healthy,7
2022-06-24 03:14:05.074844,Suburban,13,1,178,10.73,3,Unhealthy,26
2022-06-25 03:14:05.074844,University,8,5,187,13.46,5,Healthy,75
2022-06-26 03:14:05.074844,University,10,3,188,6.72,5,Healthy,24
2022-06-27 03:14:05.074844,Suburban,9,3,212,19.95,4,Unhealthy,10
2022-06-28 03:14:05.074844,University,9,4,188,11.38,4,Healthy,13
2022-06-29 03:14:05.074844,Suburban,13,1,204,10.22,1,Healthy,44
2022-06-30 03:14:05.074844,University,13,2,200,15.65,5,Healthy,39
2022-07-01 03:14:05.074844,Suburban,9,2,202,10.46,5,Healthy,19
2022-07-02 03:14:05.074844,University,13,2,200,17.5,5,Unhealthy,51
2022-07-03 03:14:05.074844,University,10,2,214,11.81,4,Unhealthy,19
2022-07-04 03:14:05.074844,Downtown,18,3,182,15.79,3,Unhealthy,76
2022-07-05 03:14:05.074844,Downtown,5,3,195,6.61,5,Unhealthy,52
2022-07-06 03:14:05.074844,University,9,2,201,17.69,3,Healthy,86
2022-07-07 03:14:05.074844,University,5,3,227,16.04,4,Unhealthy,47
2022-07-08 03:14:05.074844,Mall,6,1,189,8.18,2,Unhealthy,30
2022-07-09 03:14:05.074844,Suburban,12,3,195,7.18,5,Unhealthy,46
2022-07-10 03:14:05.074844,Mall,9,5,198,9.74,2,Unhealthy,76
